City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.17,75,61,11.4,PN,1713783626
1,invercargill,-46.4,168.35,6.57,86,46,3.49,NZ,1713783507
2,yellowknife,62.456,-114.3525,-1.25,89,100,3.66,CA,1713783628
3,lubang,13.8584,120.124,29.32,76,5,3.08,PH,1713783629
4,port elizabeth,-33.918,25.5701,20.78,68,28,8.67,ZA,1713783630
5,morada nova,-5.1067,-38.3725,26.32,85,100,2.13,BR,1713783632
6,avarua,-21.2078,-159.775,26.07,70,64,7.03,CK,1713783633
7,holualoa,19.6228,-155.9522,21.9,74,67,1.6,US,1713783634
8,port-aux-francais,-49.35,70.2167,5.37,82,14,11.14,TF,1713783635
9,thompson,55.7435,-97.8558,-0.31,98,100,1.57,CA,1713783636
10,okha,53.5739,142.9478,-3.27,93,27,1.83,RU,1713783637
11,grytviken,-54.2811,-36.5092,0.19,78,54,11.92,GS,1713783638
12,jamestown,42.097,-79.2353,-0.68,89,2,1.16,US,1713783639
13,hermanus,-34.4187,19.2345,19.8,71,34,3.58,ZA,1713783640
14,atafu village,-8.5421,-172.5159,29.59,73,31,3.03,TK,1713783641
15,el charco,2.4769,-78.1105,23.21,98,100,1.98,CO,1713783642
16,ushuaia,-54.8,-68.3,0.96,97,100,2.55,AR,1713783643
17,gibsonton,27.8536,-82.3826,18.29,83,93,5.86,US,1713783644
18,utrik,11.2278,169.8474,28.03,77,100,7.02,MH,1713783645
19,magistral'nyy,56.1725,107.4458,3.8,83,92,1.76,RU,1713783646
20,sorong,-0.8833,131.25,27.68,81,100,2.25,ID,1713783647
21,washington,47.5001,-120.5015,1.35,79,0,1.84,US,1713783648
22,puerto natales,-51.7236,-72.4875,0.16,93,48,2.08,CL,1713783649
23,papatowai,-46.5619,169.4708,7.99,79,58,3.84,NZ,1713783650
24,port alfred,-33.5906,26.891,20.11,88,53,10.18,ZA,1713783651
25,corner brook,48.9667,-57.9484,4.83,78,66,3.89,CA,1713783652
26,hithadhoo,-0.6,73.0833,29.76,68,100,0.39,MV,1713783653
27,nar'yan-mar,67.6713,53.087,-6.48,84,96,2.44,RU,1713783654
28,dawukou,39.0419,106.3958,13.69,13,0,10.52,CN,1713783655
29,yigo village,13.5361,144.8886,26.46,79,26,6.31,GU,1713783656
30,belmonte,-15.8631,-38.8828,24.47,90,77,4.48,BR,1713783657
31,haiku-pauwela,20.9219,-156.3051,21.08,79,45,6.88,US,1713783658
32,hawaiian paradise park,19.5933,-154.9731,21.49,84,80,4.55,US,1713783660
33,klyuchi,52.2667,79.1667,17.13,24,19,7.82,RU,1713783661
34,les anglais,18.3054,-74.2197,23.14,84,2,1.94,HT,1713783662
35,quiberon,47.4841,-3.1196,10.66,53,11,5.79,FR,1713783663
36,lincoln city,44.9582,-124.0179,5.41,90,13,3.06,US,1713783664
37,bilibino,68.0546,166.4372,-17.32,91,34,2.07,RU,1713783665
38,daru,-9.0763,143.2092,27.81,86,99,5.12,PG,1713783667
39,albany,42.6001,-73.9662,-0.39,83,6,2.38,US,1713783668
40,lashio,22.9333,97.75,34.65,19,64,2.89,MM,1713783669
41,tezu,27.9167,96.1667,31.44,29,91,1.42,IN,1713783670
42,constantia,44.1833,28.65,11.39,79,74,9.14,RO,1713783671
43,waitangi,-43.9535,-176.5597,11.3,66,43,14.49,NZ,1713783672
44,tura,25.5198,90.2201,36.44,15,64,4.53,IN,1713783673
45,margaret river,-33.95,115.0667,14.83,54,0,5.84,AU,1713783569
46,bethel,41.3712,-73.414,0.79,74,23,1.23,US,1713783675
47,turbat,26.0023,63.044,34.74,23,0,4.8,PK,1713783676
48,saint-francois,46.4154,3.9054,8.26,52,69,4.91,FR,1713783677
49,ugoofaaru,5.6667,73.0,30.02,77,100,4.97,MV,1713783678
50,qaqortoq,60.7167,-46.0333,-0.54,91,99,1.83,GL,1713783679
51,fort bragg,35.139,-79.006,7.77,88,100,3.71,US,1713783680
52,port mathurin,-19.6833,63.4167,26.95,81,55,6.71,MU,1713783681
53,revda,56.801,59.9303,18.87,48,77,3.16,RU,1713783682
54,ribeira grande,38.5167,-28.7,14.9,78,100,6.89,PT,1713783683
55,blackmans bay,-43.0167,147.3167,12.68,80,100,1.6,AU,1713783684
56,molde,62.7375,7.1591,5.18,60,97,1.94,NO,1713783685
57,college,64.8569,-147.8028,0.01,98,75,0.59,US,1713783686
58,bredasdorp,-34.5322,20.0403,23.82,50,5,4.25,ZA,1713783687
59,iqaluit,63.7506,-68.5145,-19.77,95,37,2.61,CA,1713783688
60,fort st. john,56.2499,-120.8529,3.14,94,91,2.52,CA,1713783689
61,zouerate,22.7187,-12.4521,24.91,31,61,3.58,MR,1713783690
62,alofi,-19.0595,-169.9187,26.27,76,95,5.25,NU,1713783691
63,freetown,8.484,-13.2299,28.38,70,82,3.54,SL,1713783692
64,nizhneangarsk,55.7833,109.55,-0.86,96,88,1.21,RU,1713783693
65,wailua homesteads,22.0669,-159.378,21.19,69,66,5.93,US,1713783694
66,port moresby,-9.4431,147.1797,26.71,89,47,5.76,PG,1713783696
67,stanley,54.868,-1.6985,7.82,93,100,0.84,GB,1713783697
68,shixing,24.9482,114.0657,23.18,92,59,0.5,CN,1713783698
69,kidal,18.4411,1.4078,39.95,6,68,3.33,ML,1713783699
70,taltal,-25.4,-70.4833,17.53,83,4,0.59,CL,1713783700
71,whitehorse,60.7161,-135.0538,-0.31,88,13,1.69,CA,1713783701
72,robertsport,6.7533,-11.3686,27.75,81,100,3.01,LR,1713783702
73,kourou,5.1552,-52.6478,25.98,91,100,1.25,GF,1713783704
74,enewetak,11.3474,162.3373,27.79,77,55,8.19,MH,1713783706
75,cockburn town,21.4612,-71.1419,25.15,78,16,7.35,TC,1713783707
76,touros,-5.1989,-35.4608,27.97,79,100,4.24,BR,1713783708
77,jardim de piranhas,-6.3786,-37.3519,27.52,74,55,5.11,BR,1713783709
78,nyurba,63.2842,118.3319,0.64,100,100,1.42,RU,1713783710
79,dudinka,69.4058,86.1778,-15.0,92,90,2.26,RU,1713783711
80,afaahiti,-17.75,-149.2833,25.97,85,87,5.58,PF,1713783713
81,sferracavallo,42.726,12.0956,12.93,76,66,8.38,IT,1713783714
82,port-vila,-17.7338,168.3219,26.05,90,100,1.95,VU,1713783715
83,al kharijah,25.4514,30.5464,36.87,4,46,4.29,EG,1713783716
84,chonchi,-42.6128,-73.8092,6.41,94,100,0.93,CL,1713783717
85,lysyye gory,51.5506,44.8414,20.66,35,85,4.04,RU,1713783718
86,argo,37.6333,22.7333,20.34,50,98,4.67,GR,1713783720
87,rikaze,29.25,88.8833,16.66,4,99,6.91,CN,1713783721
88,bubaque,11.2833,-15.8333,24.48,68,75,2.93,GW,1713783722
89,nemuro,43.3236,145.575,2.55,92,94,5.59,JP,1713783724
90,el porvenir,13.7617,-87.3458,24.26,83,100,0.98,HN,1713783725
91,pavilosta,56.8879,21.1859,1.21,97,100,12.55,LV,1713783726
92,rapla,59.0072,24.7928,0.64,96,100,6.09,EE,1713783727
93,cidreira,-30.1811,-50.2056,20.23,79,86,1.29,BR,1713783728
94,greenville,35.6127,-77.3663,6.46,82,100,4.59,US,1713783729
95,oranjestad,12.524,-70.027,26.54,86,99,8.08,AW,1713783730
96,new glasgow,45.5834,-62.6486,4.21,79,60,5.45,CA,1713783731
97,senador jose porfirio,-2.5908,-51.9542,23.3,99,100,1.91,BR,1713783732
98,kodiak,57.79,-152.4072,2.74,90,88,1.22,US,1713783733
99,ebon,4.582,168.6964,28.49,83,100,6.34,MH,1713783735
100,villa juarez,24.6536,-107.5411,18.6,51,0,0.86,MX,1713783736
101,turpan,42.9333,89.1667,31.9,10,1,2.18,CN,1713783737
102,andergrove,-21.0833,149.1833,23.66,82,37,11.05,AU,1713783738
103,nabire,-3.3667,135.4833,25.97,90,100,1.13,ID,1713783739
104,rottenburg an der laaber,48.7,12.0333,6.45,50,91,3.01,DE,1713783740
105,punta arenas,-53.15,-70.9167,5.12,83,72,4.75,CL,1713783537
106,palanga,55.9175,21.0686,1.89,97,100,11.69,LT,1713783742
107,galesong,-5.3166,119.3661,28.58,76,100,1.14,ID,1713783743
108,okoneshnikovo,54.8377,75.0834,14.06,37,7,7.71,RU,1713783744
109,tosontsengel,48.7567,98.2839,4.71,53,82,7.51,MN,1713783745
110,saint-pierre,-21.3393,55.4781,26.9,81,26,1.68,RE,1713783746
111,olonkinbyen,70.9221,-8.7187,-3.33,60,0,8.24,SJ,1713783747
112,portland,45.5234,-122.6762,5.0,86,1,1.13,US,1713783598
113,santa ana,33.7456,-117.8678,14.07,85,2,1.58,US,1713783600
114,langepas,61.2544,75.2124,-9.23,76,100,7.68,RU,1713783751
115,badamdar,40.3394,49.8039,19.44,55,78,12.52,AZ,1713783752
116,cabo san lucas,22.8909,-109.9124,20.87,62,0,5.35,MX,1713783628
